Row,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,Sharks,per shark,Details / Notes
256,4,25,Stella Valle Jewelry,Yes,Fashion / Beauty,Female,"1,50,000",35%,"4,28,571",,1,1,,,,,,2,"75,000",
257,4,25,Geek Chic,Yes,Fashion / Beauty,Male,"3,00,000",25%,"12,00,000",,,,1,,,,,1,"3,00,000",
258,4,25,LugLess,No,Consumer Products,Male,,,,,,,,,,,,0,,
259,4,25,Jones Scones,No,Food and Beverage,Male,,,,,,,,,,,,0,,
260,4,26,Ryan's Barkery,Yes,Pet Products,Male,"25,000",25%,"1,00,000",1,,,,,,,,1,"25,000",
261,4,26,Verbalize It App,Yes,Business Services,Male,"2,50,000",20%,"12,50,000",,,,,,1,,,1,"2,50,000",
262,4,26,Tom n Chee,Yes,Food and Beverage,Male,"6,00,000",15%,"40,00,000",1,1,,,,,,,2,"3,00,000",
263,4,26,Three Day Rule,No,Software / Tech,Female,,,,,,,,,,,,0,,
264,5,1,Sweet Ballz,Yes,Food and Beverage,Male,"2,50,000",25%,"10,00,000",1,1,,,,,,,2,"1,25,000",
265,5,1,Postcard on the Run,Yes,Software / Tech,Male,"3,00,000",8%,"40,00,000",,,,1,,,,,1,"3,00,000",
266,5,1,Lynnaes Gourmet Pickles,No,Food and Beverage,Female,,,,,,,,,,,,0,,
267,5,1,RoloDoc,No,Healthcare,Male,,,,,,,,,,,,0,,
268,5,2,Kane & Couture Dog Clothes,Yes,Pet Products,Female,"1,50,000",40%,"3,75,000",,,1,,1,,,,2,"75,000",
269,5,2,Breathometer,Yes,Healthcare,Male,"10,00,000",30%,"33,33,333",,1,1,1,1,1,,,5,"2,00,000",
270,5,2,Mango Mango Preserve,No,Food and Beverage,Female,,,,,,,,,,,,0,,
271,5,2,Man Medals,No,Uncertain / Other,Male,,,,,,,,,,,,0,,
272,5,3,Freeloader Child Carrier,Yes,Children / Education,Male,"2,00,000",33%,"6,06,061",,,,1,,,,,1,"2,00,000",
273,5,3,Rapid Ramen Cooker,Yes,Food and Beverage,Male,"3,00,000",15%,"20,00,000",,1,,,,,,,1,"3,00,000","150K is investment, 150K is loan"
274,5,3,Fairy Tale Wishes,No,Children / Education,Female,,,,,,,,,,,,0,,
275,5,3,Kook n Kap,No,Food and Beverage,Female,,,,,,,,,,,,0,,
276,5,4,Screen Mend,Yes,Lifestyle / Home,Mixed Team,"30,000",50%,"60,000",,,1,,,,,,1,"30,000",
277,5,4,Hamboards Skateboard/Surfboard,Yes,Fitness / Sports,Male,"3,00,000",30%,"10,00,000",,,,1,,,,,1,"3,00,000",
278,5,4,R Dubs Sunday Night Slow Jams,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
279,5,4,Scan. Me App,No,Software / Tech,Male,,,,,,,,,,,,0,,
280,5,5,Garden Pops,Yes,Food and Beverage,Mixed Team,"75,000",30%,"2,50,000",1,1,,,,,,,2,"37,500",
281,5,5,Ruffle Butts - Rugged Butts,Yes,Fashion / Beauty,Mixed Team,"3,00,000",9%,"33,33,333",,,1,,,,,,1,"3,00,000",
282,5,5,Bare Ease Bikini Waxing,No,Lifestyle / Home,Female,,,,,,,,,,,,0,,
283,5,5,Rent A Goat,No,Uncertain / Other,Male,,,,,,,,,,,,0,,
284,5,6,Total Merchant Resources,Yes,Business Services,Mixed Team,"2,00,000",50%,"4,00,000",,,,,,1,,,1,"2,00,000",
285,5,6,Ten Thirty One Haunted Hayrides,Yes,Media / Entertainment,Female,"20,00,000",20%,"1,00,00,000",,1,,,,,,,1,"20,00,000",
286,5,6,Fiber Fix Tape,Yes,Lifestyle / Home,Male,"2,50,000",12%,"20,83,333",,,1,,,,,,1,"2,50,000",
287,5,6,Elephant Chat,No,Consumer Products,Mixed Team,,,,,,,,,,,,0,,
288,5,7,180 Party Cup,Yes,Lifestyle / Home,Male,"3,00,000",25%,"12,00,000",,,,,1,,,,1,"3,00,000",
289,5,7,Tree T Pee,Yes,Green/CleanTech,Male,"1,50,000",20%,"7,50,000",,,,,,,,1,1,"1,50,000",
290,5,7,Better Life Cleaning Products,Yes,Green/CleanTech,Male,"4,00,000",17%,"23,52,941",,,1,,,,,,1,"4,00,000",400K is loan; equity drops to 7% once loan paid back
291,5,7,Kymera Electric Surfboards,No,Fitness / Sports,Male,,,,,,,,,,,,0,,
292,5,8,Paparazzi Proposals,Yes,Lifestyle / Home,Male,"2,50,000",33%,"7,57,576",,,1,,,1,,,2,"1,25,000",200K as loan
293,5,8,Schulzies Bread Pudding,No,Food and Beverage,Female,,,,,,,,,,,,0,,
294,5,8,BellyBuds,No,Healthcare,Male,,,,,,,,,,,,0,,
